Full fund name;Fund ISIN;Fund Manager;Fund size;Market sector;Morningstar category;Asset Class;Sharpe ratio 3 year;Standard deviation;OCF/TER(%);rating;(Current Yr-4);(Current Yr-3);(Current Yr-2);(Current Yr-1);(Current Yr);Fund code;Fund currency;Style;Buy;Sell;AMC(%);Distribution frequency;Distribution yield
Guinness US Equity Fund class X GBP Acc;IE00BYV25183;Guinness;0;Technology;US Large-Cap Blend Equity;North American Equity;;;1.24;;;;;;;GUSXA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Guinness Emerging Markets Equity Income Fund class X GBP Dist;IE00BYV24R70;Guinness;0;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;;;1.24;;;;;;;GUEMD;GBP;Active;0.00 ;0.00 ;0.75;6months;
Guinness Emerging Markets Equity Income Fund class X GBP Acc;IE00BYV24Q63;Guinness;0;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;;;1.24;;;;;;;GUEMA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Guinness Global Equity Fund class X GBP Acc;IE00BYV25B85;Guinness;0;Industrials;Global Large-Cap Blend Equity;Global Equity;;;1.24;;;;;;;GUGXA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Polar Capital UK Value Opportunities Acc;IE00BD81XX91;Polar Capital;0;Consumer Cyclical;UK Large-Cap Value Equity;UK Equity;;;0.91;;;;;;;POUVA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Polar Capital UK Value Opportunities Inc;IE00BD81XW84;Polar Capital;0;Consumer Cyclical;UK Large-Cap Value Equity;UK Equity;;;0.91;;;;;;;POUVI;GBP;Active;0.00 ;0.00 ;0.75;1year;
CF Miton Global Infrastructure Income Fund F Acc;GB00BD3H9N45;Miton;0;Utilities;Sector Equity Infrastructure;Global Equity;;;0.8;;;;;;;MIGFA;GBP;Active;0.00 ;0.00 ;0.5;6months;
CF Miton Global Infrastructure Income Fund F Inc;GB00BD3H9P68;Miton;0;Utilities;Sector Equity Infrastructure;Global Equity;;;0.8;;;;;;;MIGFI;GBP;Active;0.00 ;0.00 ;0.5;6months;
Invesco Perpetual US Enhanced Index Y Acc;GB00BZ8GX278;Invesco Perpetual;4;Technology;US Large-Cap Blend Equity;North American Equity;;;0.23;;;;;;;INSYA;GBP;Active;0.00 ;0.00 ;0.23;6months;
Invesco Perpetual US Enhanced Index Y Inc;GB00BZ8GX492;Invesco Perpetual;4;Technology;US Large-Cap Blend Equity;North American Equity;;;0.23;;;;;;;INSYI;GBP;Active;0.00 ;0.00 ;0.23;6months;
SVS Cornelian Defensive RMP G Acc;GB00BD72ZR10;Cornelian Asset Managers Ltd;45;Real Estate;;;;;0.75;;;;;;;CODGA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
SVS Cornelian Defensive RMP G Inc;GB00BD6FSJ49;Cornelian Asset Managers Ltd;45;Real Estate;;;;;0.75;;;;;;;CODGI;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Liontrust European Enhanced Income Fund¾I Inc;GB00BD2WZ766;Liontrust;59;Financial Services;Europe Equity - Currency Hedged;Europe Equity excl UK;;;0.9;;;;;;;LTEII;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
M&G Global Target Return Fund I Accumulation;GB00BYM55C75;M&G;59;Financial Services;Alt - Multistrategy;Mixed Assets - Flexible;;;0.71;;;;;;;MGTIA;GBP;Active;0.00 ;0.00 ;0.5;1year;
Invesco Perpetual UK Enhanced Index Y Acc;GB00BZ8GWW04;Invesco Perpetual;86;Financial Services;UK Large-Cap Blend Equity;UK Equity;;;0.23;;;;;;;INUYA;GBP;Active;0.00 ;0.00 ;0.23;6months;
Invesco Perpetual UK Enhanced Index Y Inc;GB00BZ8GWX11;Invesco Perpetual;86;Financial Services;UK Large-Cap Blend Equity;UK Equity;;;0.23;;;;;;;INUYI;GBP;Active;0.00 ;0.00 ;0.23;6months;
Fidelity US Quality Income UCITS ETF - Acc;IE00BYXVGY31;Fidelity;98;Technology;US Large-Cap Value Equity;North American Equity;;;0.3;;;;;;;FUSR;GBP;Passive;0.00 ;0.00 ;0.3;Quarter;
Fidelity US Quality Income UCITS ETF - Inc;IE00BYXVGX24;Fidelity;98;Technology;US Large-Cap Value Equity;North American Equity;;;0.3;;;;;;;FUSQ;GBP;Passive;0.00 ;0.00 ;0.3;Quarter;
Waverton Global Core Equity Fund P Inc Nav;IE00BD0FGK79;Waverton;101;Financial Services;Global Large-Cap Blend Equity;Global Equity;;;0.65;;;;;;;WVGCP;GBP;Active;0.00 ;0.00 ;0.4;6months;
Liontrust European Income Fund¾I Inc;GB00BD2WZ329;Liontrust;180;Financial Services;Europe ex-UK Large-Cap Equity;Europe Equity excl UK;;;0.88;;;;;;;LTUII;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
SVS Cornelian Managed Growth RMP G Acc;GB00BD72ZY86;Cornelian Asset Managers Ltd;220;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;;;0.75;;;;;;;CORGA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
SVS Cornelian Managed Growth RMP G Inc;GB00BD6FSM77;Cornelian Asset Managers Ltd;220;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;;;0.75;;;;;;;CORGI;GBP;Active;0.00 ;0.00 ;0.5;Quarter;
Legg Mason IF RARE Global Infrastructure Income Fund X Inc Hedged;GB00BD3FVS79;Legg Mason;303;Utilities;Sector Equity Other;Global Equity;;;1.08;;;;;;;LMIHI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Legg Mason IF RARE Global Infrastructure Income X Acc;GB00BZ01WV25;Legg Mason;303;Utilities;Sector Equity Infrastructure;Global Equity;;;0.9;;;;;;;LMIXA;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Legg Mason IF RARE Global Infrastructure Income X Inc;GB00BZ01WT03;Legg Mason;303;Utilities;Sector Equity Infrastructure;Global Equity;;;0.9;;;;;;;LMIXI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
ETFS Physical Silver;JE00B1VS3333;ETF Securities;793;Financial Services;Commodities - Precious Metals;Commodities - Precious Metals;0.13;25.02;0.49;;-27.96;-4.38;-18.82;39.16;-8.40;XEPSD;GBP;Passive;0.00 ;0.00 ;0.49;1year;
Legg Mason IF RARE Global Infrastructure Income Fund X Acc Hedged;GB00BD3FVT86;Legg Mason;303;Utilities;Sector Equity Other;Global Equity;;;1.08;;;;;;;LMIHA;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
