"","Holding","Fund ISIN","Fund Manager","Fund size","Market sector","Morningstar category","Asset Class","Sharpe ratio 3 year","Standard deviation","OCF/TER(%)","rating","(Current Yr-4)","(Current Yr-3)","(Current Yr-2)","(Current Yr-1)","(Current Yr)","Fund code","Fund currency","Style","Buy","Sell","AMC(%)","Distribution frequency","Distribution yield","HoldingM"
"1","Guinness US Equity Fund class X GBP Acc","IE00BYV25183","Guinness",0,"Technology","US Large-Cap Blend Equity","North American Equity",NA,NA,1.24,NA,NA,NA,NA,NA,NA,"GUSXA","GBP","Active",0,0,0.75,"6months",NA,"GuinnessUSEquityFundclassXGBPAcc"
"2","Guinness Emerging Markets Equity Income Fund class X GBP Dist","IE00BYV24R70","Guinness",0,"Technology","Global Emerging Markets Equity","Emerging Markets Global Equity",NA,NA,1.24,NA,NA,NA,NA,NA,NA,"GUEMD","GBP","Active",0,0,0.75,"6months",NA,"GuinnessEmergingMarketsEquityIncomeFundclassXGBPDist"
"3","Guinness Emerging Markets Equity Income Fund class X GBP Acc","IE00BYV24Q63","Guinness",0,"Technology","Global Emerging Markets Equity","Emerging Markets Global Equity",NA,NA,1.24,NA,NA,NA,NA,NA,NA,"GUEMA","GBP","Active",0,0,0.75,"6months",NA,"GuinnessEmergingMarketsEquityIncomeFundclassXGBPAcc"
"4","Guinness Global Equity Fund class X GBP Acc","IE00BYV25B85","Guinness",0,"Industrials","Global Large-Cap Blend Equity","Global Equity",NA,NA,1.24,NA,NA,NA,NA,NA,NA,"GUGXA","GBP","Active",0,0,0.75,"6months",NA,"GuinnessGlobalEquityFundclassXGBPAcc"
"5","Polar Capital UK Value Opportunities Acc","IE00BD81XX91","Polar Capital",0,"Consumer Cyclical","UK Large-Cap Value Equity","UK Equity",NA,NA,0.91,NA,NA,NA,NA,NA,NA,"POUVA","GBP","Active",0,0,0.75,"1year",NA,"PolarCapitalUKValueOpportunitiesAcc"
"6","Polar Capital UK Value Opportunities Inc","IE00BD81XW84","Polar Capital",0,"Consumer Cyclical","UK Large-Cap Value Equity","UK Equity",NA,NA,0.91,NA,NA,NA,NA,NA,NA,"POUVI","GBP","Active",0,0,0.75,"1year",NA,"PolarCapitalUKValueOpportunitiesInc"
"7","CF Miton Global Infrastructure Income Fund F Acc","GB00BD3H9N45","Miton",0,"Utilities","Sector Equity Infrastructure","Global Equity",NA,NA,0.8,NA,NA,NA,NA,NA,NA,"MIGFA","GBP","Active",0,0,0.5,"6months",NA,"CFMitonGlobalInfrastructureIncomeFundFAcc"
"8","CF Miton Global Infrastructure Income Fund F Inc","GB00BD3H9P68","Miton",0,"Utilities","Sector Equity Infrastructure","Global Equity",NA,NA,0.8,NA,NA,NA,NA,NA,NA,"MIGFI","GBP","Active",0,0,0.5,"6months",NA,"CFMitonGlobalInfrastructureIncomeFundFInc"
"9","Invesco Perpetual US Enhanced Index Y Acc","GB00BZ8GX278","Invesco Perpetual",4,"Technology","US Large-Cap Blend Equity","North American Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INSYA","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualUSEnhancedIndexYAcc"
"10","Invesco Perpetual US Enhanced Index Y Inc","GB00BZ8GX492","Invesco Perpetual",4,"Technology","US Large-Cap Blend Equity","North American Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INSYI","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualUSEnhancedIndexYInc"
"11","SVS Cornelian Defensive RMP G Acc","GB00BD72ZR10","Cornelian Asset Managers Ltd",45,"Real Estate","","",NA,NA,0.75,NA,NA,NA,NA,NA,NA,"CODGA","GBP","Active",0,0,0.5,"Quarter",NA,"SVSCornelianDefensiveRMPGAcc"
"12","SVS Cornelian Defensive RMP G Inc","GB00BD6FSJ49","Cornelian Asset Managers Ltd",45,"Real Estate","","",NA,NA,0.75,NA,NA,NA,NA,NA,NA,"CODGI","GBP","Active",0,0,0.5,"Quarter",NA,"SVSCornelianDefensiveRMPGInc"
