Full fund name;Fund ISIN;Fund Manager;Fund size;Market sector;Morningstar category;Asset Class;Sharpe ratio 3 year;Standard deviation
ETFS Physical Silver;JE00B1VS3333;ETF Securities;793;Financial Services;Commodities - Precious Metals;Commodities - Precious Metals;0.13;25.02
BlackRock Gold & General Fund Class D Acc;GB00B5ZNJ896;BlackRock;1232;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;0.33;38.34
ETFS Physical Gold ETC;JE00B1VS3770;ETF Securities;4410;Financial Services;Commodities - Precious Metals;Commodities - Precious Metals;0.46;18.9
ETFS Physical PM Basket ETC;JE00B1VS3W29;ETF Securities;91;;Commodities - Precious Metals;Commodities - Precious Metals;0.3;19.22
AXA Framlington Biotech Fund Z Acc;GB00B784NS11;AXA IM;493;Healthcare;Sector Equity Biotechnology;Global Equity;0.72;24.44
Pictet Biotech-I dy GBP;LU0448836352;Pictet;1074;Healthcare;Sector Equity Biotechnology;Global Equity;0.79;23.13
Guinness Global Innovators Fund class Y GBP Acc;IE00BQXX3K83;Guinness;79;Technology;Global Large-Cap Blend Equity;Global Equity;1.44;11.52
M&G Optimal Income Fund I Acc;GB00B1H05718;M&G;19873;Consumer Cyclical;GBP Cautious Allocation;Bonds;1.1;3.84
Jupiter Strategic Bond I Class Inc;GB00B544HM32;Jupiter Asset Management;3694;Financial Services;Global Flexible Bond - GBP Hedged;Bonds;1.44;2.84
AXA Framlington Global Technology Z Acc;GB00B4W52V57;AXA IM;406;Technology;Sector Equity Technology;Global Equity;1.56;15.62
Polar Capital Global Technology I GBP;IE00B42W4J83;Polar Capital;1161;Technology;Sector Equity Technology;Global Equity;1.86;13.92
Pictet Water I dy GBP;LU0448836600;Pictet;4021;Industrials;Sector Equity Water;Global Equity;1.6;9.6
VT UK Infrastructure Income Fund C GBP Net Income;GB00BYVB3J98;Valu-Trac;0;Industrials;Sector Equity Infrastructure;Global Equity;;
Henderson UK Property PAIF Feeder I Acc;GB00BYP82D37;Henderson;2055;Real Estate;Property - Direct UK;Property - Physical;0.99;4.39
Legal & General UK Property Feeder Fund (I) - Accumulation;GB00BK35F408;Legal & General;2667;Real Estate;Property - Direct UK;Property - Physical;1.98;3.66
Pictet Robotics I GBP;LU1316549283;Pictet;3509;Technology;Sector Equity Technology;Global Equity;;
