Full fund name;Fund ISIN;Fund code;Asset Class;Morningstar rating;Morningstar category;OCF/TER(%);Eligible for ISA;Eligible for SIPP;Eligible for general investment account;Performance in % (Current Yr-4);Performance in % (Current Yr-3);Performance in % (Current Yr-2);Performance in % (Current Yr-1);Performance in % (Current Yr)
M&G European High Yield Bond I Acc;GB00B76MD544;MGELA;Bonds;;Europe High Yield Bond;0.92;Yes;Yes;Yes;20.38;7.20;-12.38;16.93;16.47
Fidelity Special Situations Fund W-Accumulation;GB00B88V3X40;WSSA;UK;;UK Flex-Cap Equity;0.94;Yes;Yes;Yes;36.34;10.94;12.56;-4.11;30.62
Fidelity Enhanced Income Fund W-MINC-GBP;GB00BYSYZP12;WEIIM;UK;;UK Equity Income;0.94;Yes;Yes;Yes;;;;;11.29
Fidelity Global Dividend Fund W-MINC-GBP;GB00BYSYZL73;WGDIM;Global;;Global Equity Income;0.95;Yes;Yes;Yes;;;;;15.01
Fidelity Global Dividend Fund W-Income (UK);GB00B7778087;WGDII;Global;5;Global Equity Income;0.96;Yes;Yes;Yes;25.36;8.43;8.46;23.51;15.02
Fidelity Global Dividend Fund W-Accumulation (UK);GB00B7GJPN73;WGDIA;Global;5;Global Equity Income;0.96;Yes;Yes;Yes;25.38;8.48;8.44;23.55;14.96
Fidelity Global Special Situations Fund W-Accumulation;GB00B8HT7153;WGSA;Global;;Global Large-Cap Blend Equity;0.95;Yes;Yes;Yes;30.19;9.74;18.93;7.38;31.91
JOHCM UK Equity Income Fund Y Acc;GB00B8FCHK57;JOEYA;UK;;UK Equity Income;0.69;Yes;Yes;Yes;;16.70;7.51;-9.29;30.43
iShares Global Property Secs Eq Tracker Fund Class H Inc;GB00BPFJCN32;MCGHI;Alternatives;;Property - Indirect Global;0.19;Yes;Yes;Yes;;;;28.99;5.32
iShares Global Property Secs Eq Tracker Fund Class H Acc;GB00BPFJCF57;MCGHA;Alternatives;;Property - Indirect Global;0.19;Yes;Yes;Yes;;;;29.10;5.33
JPM US Equity Income Fund C - Net Income;GB00B3FJQ599;SPUII;North America;3;US Large-Cap Value Equity;0.93;Yes;Yes;Yes;27.73;7.65;12.85;20.04;20.18
Jupiter Strategic Bond I Class Inc;GB00B544HM32;JUSII;Bonds;;Global Flexible Bond - GBP Hedged;0.7;Yes;Yes;Yes;9.47;10.20;1.19;4.31;5.68
Jupiter Strategic Bond I Class Acc;GB00B4T6SD53;JUSIA;Bonds;;Global Flexible Bond - GBP Hedged;0.7;Yes;Yes;Yes;9.47;10.09;1.16;4.31;6.27
